"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","bind tag to device","","0","0","0","2","0"
"","create mirror","","0","0","0","2","0"
"","add tag to solution","","0","0","0","2","0"
"","create app","","0","0","0","2","0"
"","create vendor","","0","0","0","2","0"
"","login","","0","0","1","0","0"
"","add tag to device","","0","0","0","2","0"
"","setting limit","","0","0","0","1","0"
"","deploy solution","","0","0","0","1","0"
"","create user","","0","0","0","1","0"
"","find model by model","","0","0","0","1","0"
"","edit solution","","0","0","0","1","0"
"","add docker","","0","0","0","1","0"
"","change permission","","0","0","0","1","0"
"","find model by type","","0","0","0","1","0"
"","create model","","0","0","0","3","0"
"","deploy store app","","0","0","0","1","0"
"","solution","","0","0","0","1","0"
"","find model by vendor","","0","0","0","1","0"
"","deploy app","","0","0","0","2","0"
"","active device","","0","0","0","2","0"
"","deploy multiple app","","0","0","0","1","0"
"","login fail","","0","0","0","1","0"
"","change password","","0","0","0","1","0"
"","change app info","","0","0","0","1","0"
"","register fail","","0","0","0","1","0"
"","find model by plantform","","0","0","0","1","0"
"","update app document","","0","0","0","1","0"
"","create device","","0","0","0","2","0"
"","download solution image","","0","0","0","1","0"
